EVENT_ID,event_time,Event_Label,mlb_opponent,DayOfWeek,Homestand_Number,Series_Number,Game_Number,RegularSeason_Game,Promotion,GroupNight,Premium,Outcome,PartialPlan,Season
3994,4/3/17 19:05,4/3/17,Los Angeles Angels,Monday,1,1,1,Yes,Opening Day,,Gold,,On Deck,2017
3923,4/4/17 19:05,4/4/17,Los Angeles Angels,Tuesday,1,1,2,Yes,,,White,,Sac Fly,2017
3924,4/5/17 19:05,4/5/17,Los Angeles Angels,Wednesday,1,1,3,Yes,,,White,,Sac Fly,2017
3925,4/6/17 12:35,4/6/17,Los Angeles Angels,Thursday,1,1,4,Yes,,,White,,Hit and Run,2017
3926,4/14/17 19:05,4/14/17,Houston Astros,Friday,2,2,5,Yes,,,White,,On Deck,2017
3927,4/15/17 13:05,4/15/17,Houston Astros,Saturday,2,2,6,Yes,,,White,,On Deck,2017
3928,4/16/17 13:05,4/16/17,Houston Astros,Sunday,2,2,7,Yes,,,White,,On Deck,2017
3929,4/17/17 19:05,4/17/17,Texas Rangers,Monday,2,3,8,Yes,,,White,,Sac Fly,2017
3930,4/18/17 19:05,4/18/17,Texas Rangers,Tuesday,2,3,9,Yes,,,White,,Sac Fly,2017
3931,4/19/17 12:35,4/19/17,Texas Rangers,Wednesday,2,3,10,Yes,,,White,,Hit and Run,2017
3932,4/20/17 19:05,4/20/17,Seattle Mariners,Thursday,2,4,11,Yes,,,White,,Sac Fly,2017
3933,4/21/17 19:05,4/21/17,Seattle Mariners,Friday,2,4,12,Yes,Other,,White,,On Deck,2017
3934,4/22/17 13:05,4/22/17,Seattle Mariners,Saturday,2,4,13,Yes,Other,,Green,,On Deck,2017
3935,4/23/17 13:05,4/23/17,Seattle Mariners,Sunday,2,4,14,Yes,,Little League Day,Green,,On Deck,2017
3936,5/5/17 19:05,5/5/17,Detroit Tigers,Friday,3,5,15,Yes,,,White,,On Deck,2017
3937,5/6/17 18:05,5/6/17,Detroit Tigers,Saturday,3,5,16,Yes,Bobblehead,,Green,,On Deck,2017
3938,5/7/17 13:05,5/7/17,Detroit Tigers,Sunday,3,5,17,Yes,,Little League Day,Green,,On Deck,2017
3939,5/8/17 19:05,5/8/17,Los Angeles Angels,Monday,3,6,18,Yes,,,White,,Sac Fly,2017
3940,5/9/17 19:05,5/9/17,Los Angeles Angels,Tuesday,3,6,19,Yes,,,White,,Sac Fly,2017
3941,5/10/17 12:35,5/10/17,Los Angeles Angels,Wednesday,3,6,20,Yes,,,White,,Hit and Run,2017
3942,5/18/17 19:05,5/18/17,Boston Red Sox,Thursday,4,7,21,Yes,,,Green,,Sac Fly,2017
3943,5/19/17 18:35,5/19/17,Boston Red Sox,Friday,4,7,22,Yes,Fireworks,,Green,,On Deck,2017
3944,5/20/17 13:05,5/20/17,Boston Red Sox,Saturday,4,7,23,Yes,,,Green,,On Deck,2017
3945,5/21/17 13:05,5/21/17,Boston Red Sox,Sunday,4,7,24,Yes,,Scout Day,Green,,On Deck,2017
3946,5/23/17 19:05,5/23/17,Miami Marlins,Tuesday,4,8,25,Yes,,,White,,Sac Fly,2017
3947,5/24/17 12:35,5/24/17,Miami Marlins,Wednesday,4,8,26,Yes,,,White,,Hit and Run,2017
3948,6/2/17 19:05,6/2/17,Washington Nationals,Friday,5,9,27,Yes,,,Green,,On Deck,2017
3949,6/3/17 13:05,6/3/17,Washington Nationals,Saturday,5,9,28,Yes,Bobblehead,,Green,,On Deck,2017
3950,6/4/17 13:05,6/4/17,Washington Nationals,Sunday,5,9,29,Yes,Other,,Green,,On Deck,2017
3951,6/5/17 19:05,6/5/17,Toronto Blue Jays,Monday,5,10,30,Yes,,,White,,Sac Fly,2017
3952,6/6/17 19:05,6/6/17,Toronto Blue Jays,Tuesday,5,10,31,Yes,,,White,,Sac Fly,2017
3953,6/7/17 12:35,6/7/17,Toronto Blue Jays,Wednesday,5,10,32,Yes,,,White,,Hit and Run,2017
3954,6/15/17 19:05,6/15/17,New York Yankees,Thursday,6,11,33,Yes,,,Green,,Sac Fly,2017
3955,6/16/17 18:35,6/16/17,New York Yankees,Friday,6,11,34,Yes,Fireworks,,Gold,,On Deck,2017
