EVENT_ID,event_time,Event_Label,mlb_opponent,DayOfWeek,Homestand_Number,Series_Number,Game_Number,RegularSeason_Game,Promotion,GroupNight,Premium,Outcome,PartialPlan,Season,tickets_sold
20090001,4/4/09 13:05,4/4/09,San Francisco Giants,Saturday,NULL,NULL,0,Yes,Exhibition,,,,On Deck,2009,11610
20090002,4/10/09 19:05,4/10/09,Seattle Mariners,Friday,NULL,NULL,1,Yes,Opening Day,,,L,On Deck,2009,36056
20090003,4/11/09 13:05,4/11/09,Seattle Mariners,Saturday,NULL,NULL,2,Yes,,,,L,On Deck,2009,19647
20090004,4/12/09 13:05,4/12/09,Seattle Mariners,Sunday,NULL,NULL,3,Yes,,,,L,On Deck,2009,12158
20090005,4/13/09 19:05,4/13/09,Boston Red Sox,Monday,NULL,NULL,4,Yes,,,,W,Sac Fly,2009,21393
20090006,4/14/09 19:05,4/14/09,Boston Red Sox,Tuesday,NULL,NULL,5,Yes,,,,W,Sac Fly,2009,22197
20090007,4/15/09 12:35,4/15/09,Boston Red Sox,Wednesday,NULL,NULL,6,Yes,,,,L,Hit and Run,2009,35102
20090008,4/24/09 19:05,4/24/09,Tampa Bay Rays,Friday,NULL,NULL,7,Yes,Fireworks,,,L,On Deck,2009,20334
20090009,4/25/09 13:05,4/25/09,Tampa Bay Rays,Saturday,NULL,NULL,8,Yes,Matt Holliday Jersey,,,W,On Deck,2009,15506
20090010,4/26/09 13:05,4/26/09,Tampa Bay Rays,Sunday,NULL,NULL,9,Yes,,Little League Day,,W,On Deck,2009,18755
20090051,5/4/09 19:05,5/4/09,Los Angeles Angels,Monday,NULL,NULL,10,Yes,,,,L,Sac Fly,2009,10410
20090052,5/5/09 19:05,5/5/09,Los Angeles Angels,Tuesday,NULL,NULL,11,Yes,Fleece Blanket,,,L,Sac Fly,2009,13312
20090053,5/6/09 19:05,5/6/09,Texas Rangers,Wednesday,NULL,NULL,12,Yes,,,,L,Sac Fly,2009,15418
20090054,5/7/09 12:35,5/7/09,Texas Rangers,Thursday,NULL,NULL,13,Yes,,,,W,Hit and Run,2009,13723
20090055,5/8/09 19:05,5/8/09,Toronto Blue Jays,Friday,NULL,NULL,14,Yes,,,,W,On Deck,2009,14209
20090056,5/9/09 13:05,5/9/09,Toronto Blue Jays,Saturday,NULL,NULL,15,Yes,Justin Duchscherer Bobblehead,,,L,On Deck,2009,15877
20090057,5/10/09 13:05,5/10/09,Toronto Blue Jays,Sunday,NULL,NULL,16,Yes,,,,L,On Deck,2009,15146
20090058,5/12/09 19:05,5/12/09,Kansas City Royals,Tuesday,NULL,NULL,17,Yes,,,,W,Sac Fly,2009,9253
20090059,5/13/09 19:05,5/13/09,Kansas City Royals,Wednesday,NULL,NULL,18,Yes,,,,W,Sac Fly,2009,16200
20090060,5/22/09 19:05,5/22/09,Arizona Diamondbacks,Friday,NULL,NULL,19,Yes,,,,L,On Deck,2009,13649
20090061,5/23/09 18:05,5/23/09,Arizona Diamondbacks,Saturday,NULL,NULL,20,Yes,,,,L,On Deck,2009,21365
20090062,5/24/09 13:05,5/24/09,Arizona Diamondbacks,Sunday,NULL,NULL,21,Yes,,,,W,On Deck,2009,13919
20090063,5/25/09 13:05,5/25/09,Seattle Mariners,Monday,NULL,NULL,22,Yes,,,,W,Hit and Run,2009,15369
20090064,5/26/09 19:05,5/26/09,Seattle Mariners,Tuesday,NULL,NULL,23,Yes,,,,W,Sac Fly,2009,10440
20090065,5/27/09 12:35,5/27/09,Seattle Mariners,Wednesday,NULL,NULL,24,Yes,,,,L,Hit and Run,2009,30032
20090036,6/5/09 19:05,6/5/09,Baltimore Orioles,Friday,NULL,NULL,25,Yes,,,,W,On Deck,2009,12660
20090037,6/6/09 18:05,6/6/09,Baltimore Orioles,Saturday,NULL,NULL,26,Yes,,,,W,On Deck,2009,20389
20090038,6/7/09 13:05,6/7/09,Baltimore Orioles,Sunday,NULL,NULL,27,Yes,12-pack Cooler,,,W,On Deck,2009,17263
20090039,6/8/09 19:05,6/8/09,Minnesota Twins,Monday,NULL,NULL,28,Yes,,,,W,Sac Fly,2009,10269
20090040,6/9/09 19:05,6/9/09,Minnesota Twins,Tuesday,NULL,NULL,29,Yes,,,,L,Sac Fly,2009,10178
20090041,6/10/09 19:05,6/10/09,Minnesota Twins,Wednesday,NULL,NULL,30,Yes,,,,L,Sac Fly,2009,18174
